"subsiteName","estimate","se","lcl","ucl","n","habitat"
"OVERALL",9.55618578410303,5.583487376246,3.30356364464762,27.643083821996,877,NA
"Durham 1",4.38647234665974,4.86385284739324,0.758457781723106,25.3687681920773,21,"Suburban"
"Lanarkshire",1.05309809043452,0.870930464659025,0.255848075946907,4.33466456205432,7,"Suburban"
"Lancashire",25.4837996499554,14.9790230334262,8.76125345665535,74.1245585248697,264,"Suburban"
"London 1",7.66102958763147,5.3709541053123,2.21862509152389,26.453939679485,58,"Suburban"
"London 2",0.958659926401748,0.629649097983394,0.296418975628091,3.10043866976211,7,"Suburban"
"Nottinghamshire 1",1.06087985694037,1.18112446259355,0.182537239594163,6.16567925188354,7,"Arable"
"Nottinghamshire 2",81.4959796070537,50.8998275196999,26.4623497418724,250.982802241634,513,"Suburban"
"Dorset 1",0,0,0,0,0,"Pasture"
"Dorset 2",0,0,0,0,0,"Woodland"
"Isle of Wight",0,0,0,0,0,"Pasture"
"Hampshire",0,0,0,0,0,"Pasture"
"Leicestershire",0,0,0,0,0,"Arable"
"London 3",0,0,0,0,0,"Suburban"
