"subsiteName","estimate","se","lcl","ucl","n","habitat"
"OVERALL",7.38283888551494,1.41934323299255,5.08233479286704,10.7246594785472,1454,NA
"Dorset 1",10.6059015180667,2.53301012305553,6.68447942235706,16.8278096024515,144,"Pasture"
"Dorset 2",3.46970391355897,1.00762665330543,1.98647886068838,6.06039434197381,50,"Woodland"
"Durham 1",5.93744950966124,2.72760258110895,2.51842467364145,13.9981580742707,61,"Suburban"
"Isle of Wight",7.52495671878873,2.86220797344269,3.66110726220883,15.4666251393794,126,"Pasture"
"Hampshire",14.9716778110207,3.21843450334496,9.87078844813698,22.7085341413953,256,"Pasture"
"Leicestershire",46.1498524349958,11.4982392905434,28.5284614418256,74.655581553703,764,"Arable"
"London 1",0.123101440562558,0.0843735321834788,0.036478196243635,0.415425273973658,2,"Suburban"
"London 2",0.191452826172823,0.139641756607764,0.0532257743117596,0.688654794101562,3,"Suburban"
"Nottinghamshire 1",1.90680341508656,0.685111837398307,0.963175429338297,3.77490865426629,27,"Arable"
"Nottinghamshire 2",1.5545765329595,1.11657807853596,0.439140436167259,5.50326956433568,21,"Suburban"
"Lanarkshire",0,0,0,0,0,"Suburban"
"Lancashire",0,0,0,0,0,"Suburban"
"London 3",0,0,0,0,0,"Suburban"
